,customer_email,net_revenue,year
0, nhknapwsbx@gmail.com,249.92,2015
1,joiuzbvcpn@gmail.com,87.61,2015
2,ukkjctepxt@gmail.com,168.38,2015
3, gykatilzrt@gmail.com,62.4,2015
4,mmsgsrtxah@gmail.com,43.08,2015
5,mobvusnzfr@gmail.com,39.44,2015
231294, mwrossuukz@gmail.com,197.26,2016
231295,gkwsoupawk@gmail.com,38.28,2016
231296,vlyigtgfzs@gmail.com,154.57,2016
231297, yfirychuhk@gmail.com,102.47,2016
231298,trnzgqinuu@gmail.com,32.03,2016
435940,mwrossuukz@gmail.com,96.61,2017
435941,qvjfterwnk@gmail.com ,176.0,2017
435942, vlyigtgfzs@gmail.com,73.47,2017
435943,yfirychuhk@gmail.com,138.17,2017
435944,fdkiioqtli@gmail.com,156.87,2017
